Package Name,Version,Type
activesupport,7.2.0,Ruby
addressable,2.8.5,Ruby
amazing_print,1.5.0,Ruby
appydays,0.12.2,Ruby
ast,2.4.2,Ruby
base64,0.2.0,Ruby
bcrypt,3.1.19,Ruby
bigdecimal,3.1.4,Ruby
biz,1.8.2,Ruby
browser,5.3.1,Ruby
brpoplpush-redis_script,0.1.3,Ruby
builder,3.2.4,Ruby
bundle-audit,0.1.0,Ruby
bundler-audit,0.9.2,Ruby
clavius,1.0.4,Ruby
clipboard,1.3.6,Ruby
coderay,1.1.3,Ruby
concurrent-ruby,1.3.4,Ruby
connection_pool,2.4.1,Ruby
crack,1.0.0,Ruby
css_parser,1.16.0,Ruby
csv,3.3.0,Ruby
diff-lcs,1.5.0,Ruby
docile,1.4.0,Ruby
domain_name,0.5.20190701,Ruby
dotenv,2.8.1,Ruby
drb,2.2.1,Ruby
dry-core,1.0.1,Ruby
dry-inflector,1.0.0,Ruby
dry-logic,1.5.0,Ruby
dry-types,1.7.1,Ruby
erubis,2.7.0,Ruby
et-orbi,1.2.11,Ruby
eventmachine,1.2.7,Ruby
excon,0.102.0,Ruby
faker,3.2.1,Ruby
faraday,2.7.10,Ruby
faraday-net_http,3.0.2,Ruby
faye-websocket,0.11.3,Ruby
ffi,1.15.5,Ruby
ffi-compiler,1.0.1,Ruby
fluent_fixtures,0.11.0,Ruby
foreman,0.87.2,Ruby
frontapp,0.0.12,Ruby
fugit,1.11.1,Ruby
geokit,1.14.0,Ruby
globalid,1.2.0,Ruby
grape,1.8.0,Ruby
grape-entity,1.0.0,Ruby
grape-swagger,1.6.1,Ruby
grape_logging,1.8.4,Ruby
has-guarded-handlers,1.6.3,Ruby
hashdiff,1.1.1,Ruby
heroics,0.1.2,Ruby
holidays,8.6.0,Ruby
htmlentities,4.3.4,Ruby
http,5.1.1,Ruby
http-cookie,1.0.5,Ruby
http-form_data,2.3.0,Ruby
httparty,0.22.0,Ruby
i18n,1.14.1,Ruby
image_processing,1.12.2,Ruby
inflecto,0.0.2,Ruby
json,2.7.2,Ruby
jwt,2.7.1,Ruby
language_server-protocol,3.17.0.3,Ruby
liquid,5.4.0,Ruby
llhttp-ffi,0.4.0,Ruby
loggability,0.18.2,Ruby
logger,1.6.0,Ruby
method_source,1.0.0,Ruby
mimemagic,0.4.3,Ruby
mini_magick,4.12.0,Ruby
mini_mime,1.1.5,Ruby
mini_portile2,2.8.8,Ruby
minitest,5.25.1,Ruby
moneta,1.0.0,Ruby
monetize,1.12.0,Ruby
money,6.16.0,Ruby
multi_json,1.15.0,Ruby
multi_xml,0.7.1,Ruby
mustermann,3.0.0,Ruby
mustermann-grape,1.0.2,Ruby
nio4r,2.7.3,Ruby
nokogiri,1.18.6,Ruby
parallel,1.26.3,Ruby
parser,3.3.4.2,Ruby
pg,1.5.4,Ruby
pgvector,0.3.2,Ruby
phony,2.20.7,Ruby
platform-api,3.5.0,Ruby
premailer,1.21.0,Ruby
pry,0.14.2,Ruby
pry-clipboard2,1.0.0,Ruby
public_suffix,5.0.3,Ruby
puma,6.6.0,Ruby
raabro,1.4.0,Ruby
racc,1.8.1,Ruby
rack,2.2.13,Ruby
rack-accept,0.4.5,Ruby
rack-attack,6.7.0,Ruby
rack-cors,2.0.2,Ruby
rack-protection,3.1.0,Ruby
rack-ssl-enforcer,0.2.9,Ruby
rack-test,2.1.0,Ruby
rainbow,3.1.1,Ruby
rake,13.0.6,Ruby
rate_throttle_client,0.1.2,Ruby
redcarpet,3.6.0,Ruby
redis,4.8.1,Ruby
redis-client,0.16.0,Ruby
regexp_parser,2.9.2,Ruby
rexml,3.4.1,Ruby
rspec,3.12.0,Ruby
rspec-core,3.12.2,Ruby
rspec-eventually,0.2.2,Ruby
rspec-expectations,3.12.3,Ruby
rspec-json_expectations,2.2.0,Ruby
rspec-mocks,3.12.6,Ruby
rspec-support,3.12.1,Ruby
rspec-temp_dir,1.1.1,Ruby
rubocop,1.65.1,Ruby
rubocop-ast,1.32.1,Ruby
rubocop-performance,1.21.1,Ruby
rubocop-rake,0.6.0,Ruby
rubocop-sequel,0.3.4,Ruby
ruby-progressbar,1.13.0,Ruby
ruby-vips,2.1.4,Ruby
ruby2_keywords,0.0.5,Ruby
securerandom,0.3.1,Ruby
semantic_logger,4.14.0,Ruby
sentry-ruby,5.19.0,Ruby
sentry-sidekiq,5.19.0,Ruby
sequel,5.75.0,Ruby
sequel-annotate,1.7.0,Ruby
sequel-money-fields,0.1.0,Ruby
sequel-soft-deletes,0.1.3,Ruby
sequel-state-machine,1.4.0,Ruby
sequel-tstzrange-fields,0.2.1,Ruby
sequel_pg,1.17.1,Ruby
sidekiq,6.5.12,Ruby
sidekiq-amigo,1.8.0,Ruby
sidekiq-cron,1.10.1,Ruby
